ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0043207,response to external biotic stimulus,331,0.387986139,2.014058942,4.77E-09,1.04E-06,9.34E-07,330,"tags=27%, list=14%, signal=27%",RPL30/IFITM1/IFI27/HLA-B/IFITM3/B2M/HLA-C/ISG15/RPL39/MX1/S100A8/EEF1G/NCF1/IFI44L/ISG20/IRF7/IFIT1/IFIT3/FKBP5/IFI6/RSAD2/COTL1/PPBP/GNLY/DEFA3/APOBEC3A/MX2/NKG7/CFP/JCHAIN/HERC5/IFI44/CCL5/GBP1/STAT1/HSPA8/IFITM2/PLAC8/RPS15A/IFIT2/LILRB2/OAS3/GBP5/SERPING1/DDX60L/OAS1/OASL/IL7R/EXT1/CXCL10/PRKCE/UBE2L6/NT5C3A/TRIM22/RNF213/EIF2AK2/PLSCR1/BCL2/MIF/SHFL/DDX60/ATG7/IFI35/OAS2/PSMA2/TPT1/CARD16/USP18/PARP9/PDE4B/ROMO1/BST2/CASP4/FAU/CMPK2/FOXP1/HMGN2/PELI1/STAT2/ANKHD1/SP100/IFIH1/JAK2/GBP4/AUP1/FCGR1A/HERC6/ZNFX1/ZBP1
GO:0016032,viral process,130,0.42573472,2.001858198,1.91E-05,0.001201135,0.001081633,288,"tags=27%, list=12%, signal=25%",IFITM1/IFI27/IFITM3/ISG15/MX1/RNASEK/LY6E/ISG20/IRF7/IFIT1/RSAD2/IL32/APOBEC3A/CCL5/SIGLEC1/STAT1/HSPA8/IFITM2/OAS3/EEF1A1/RESF1/OAS1/OASL/TRIM22/EIF2AK2/PLSCR1/BCL2/SHFL/OAS2/PARP9/BST2/TASOR/ZDHHC20/SP100/IFIH1
GO:1903901,negative regulation of viral life cycle,11,0.723850885,1.98892913,0.001535877,0.043252412,0.038949201,313,"tags=64%, list=13%, signal=56%",IFITM1/IFITM3/LY6E/IL32/IFITM2/BST2/CSNK2B
GO:2000107,negative regulation of leukocyte apoptotic process,10,0.745226561,1.984727124,0.000750877,0.026056567,0.023464182,363,"tags=70%, list=15%, signal=60%",IRF7/CCL5/IL7R/BCL2/MIF/FOXP1/DOCK8
GO:0044419,biological process involved in interspecies interaction between organisms,367,0.378323168,1.983759834,4.33E-09,1.04E-06,9.34E-07,330,"tags=26%, list=14%, signal=26%",RPL30/IFITM1/IFI27/HLA-B/IFITM3/B2M/HLA-C/ISG15/RPL39/MX1/RNASEK/S100A8/EEF1G/NCF1/LY6E/IFI44L/ISG20/IRF7/IFIT1/IFIT3/FKBP5/IFI6/RSAD2/COTL1/PPBP/GNLY/DEFA3/APOBEC3A/MX2/NKG7/CFP/JCHAIN/HERC5/IFI44/CCL5/GBP1/SIGLEC1/STAT1/HSPA8/IFITM2/PLAC8/RPS15A/IFIT2/LILRB2/OAS3/GBP5/SERPING1/EEF1A1/DDX60L/OAS1/OASL/IL7R/EXT1/CXCL10/PRKCE/UBE2L6/NT5C3A/TRIM22/RNF213/EIF2AK2/PLSCR1/BCL2/MIF/SHFL/DDX60/ATG7/IFI35/OAS2/PSMA2/TPT1/CARD16/USP18/PARP9/PDE4B/ROMO1/BST2/CASP4/FAU/ZDHHC20/CMPK2/FOXP1/HMGN2/PELI1/STAT2/ANKHD1/SP100/IFIH1/JAK2/GBP4/CSNK2B/AUP1/FCGR1A/HERC6/ZNFX1/ZBP1
GO:0009607,response to biotic stimulus,336,0.378909602,1.972834566,2.41E-08,3.74E-06,3.37E-06,330,"tags=26%, list=14%, signal=27%",RPL30/IFITM1/IFI27/HLA-B/IFITM3/B2M/HLA-C/ISG15/RPL39/MX1/S100A8/EEF1G/NCF1/IFI44L/ISG20/IRF7/IFIT1/IFIT3/FKBP5/IFI6/RSAD2/COTL1/PPBP/GNLY/DEFA3/APOBEC3A/MX2/NKG7/CFP/JCHAIN/HERC5/IFI44/CCL5/GBP1/STAT1/HSPA8/IFITM2/PLAC8/RPS15A/IFIT2/LILRB2/OAS3/GBP5/SERPING1/DDX60L/OAS1/OASL/IL7R/EXT1/CXCL10/PRKCE/UBE2L6/NT5C3A/TRIM22/RNF213/EIF2AK2/PLSCR1/BCL2/MIF/SHFL/DDX60/ATG7/IFI35/OAS2/PSMA2/TPT1/CARD16/USP18/PARP9/PDE4B/ROMO1/BST2/CASP4/FAU/CMPK2/FOXP1/HMGN2/PELI1/STAT2/ANKHD1/SP100/IFIH1/JAK2/GBP4/AUP1/FCGR1A/HERC6/ZNFX1/ZBP1
GO:1902414,protein localization to cell junction,11,0.71471623,1.963829786,0.00197881,0.049179506,0.044286605,18,"tags=27%, list=1%, signal=27%",GABARAP/KIF5C/ACTB
GO:0001906,cell killing,49,0.48933865,1.95815268,0.000676444,0.024195871,0.021788607,369,"tags=39%, list=16%, signal=33%",RPL30/HLA-B/B2M/HLA-C/PPBP/GNLY/DEFA3/NKG7/GBP1/HSPA8/GBP5/IL7R/CXCL10/ROMO1/HMGN2/FCGR1A/NINJ1/LGALS9/TAP2
GO:0045333,cellular respiration,62,0.467309306,1.953876881,0.000608405,0.023043048,0.02075048,553,"tags=44%, list=23%, signal=34%",UQCR11/ATP5ME/NDUFA11/ATP5F1E/NDUFA4/SCO2/NDUFA13/NDUFB8/OAS1/NDUFB1/NDUFA3/CHCHD2/NDUFC1/NDUFA7/BLOC1S1/NDUFA2/ATP5PD/NDUFA12/ATP5MF/NDUFA1/IL10RB/MTLN/NDUFC2/ETFA/UQCRQ/SUCLG1/PNPT1
GO:0009060,aerobic respiration,52,0.476217157,1.931595678,0.001329102,0.039115966,0.035224292,392,"tags=35%, list=17%, signal=30%",UQCR11/ATP5ME/NDUFA11/ATP5F1E/NDUFA4/NDUFA13/NDUFB8/NDUFB1/NDUFA3/CHCHD2/NDUFC1/NDUFA7/BLOC1S1/NDUFA2/ATP5PD/NDUFA12/ATP5MF/NDUFA1
