ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0009117,nucleotide metabolic process,103,0.39928324,1.888477681,0.000565599,0.020689452,0.019069017,582,"tags=35%, list=21%, signal=29%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/DPYD/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/TYMP/NDUFA7/ZBTB20/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/MPP1/PDE4D/FHIT/NT5C2/SULT1A1/NAPRT/NDUFC2/PID1/HINT1/KYNU/ATP5MG/ANTKMT/SLC25A13/STAT3/HSPA8
GO:0006753,nucleoside phosphate metabolic process,112,0.39405875,1.887096605,0.000240251,0.010828436,0.009980334,582,"tags=35%, list=21%, signal=29%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/DPYD/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/TYMP/NDUFA7/ZBTB20/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/MPP1/PDE4D/GMDS/FHIT/NT5C2/SULT1A1/NAPRT/NDUFC2/SUCLG1/PID1/HINT1/KYNU/ATP5MG/TPK1/ANTKMT/SLC25A13/STAT3/HSPA8
GO:0006163,purine nucleotide metabolic process,95,0.403022562,1.87142782,0.000413833,0.016579608,0.015281063,582,"tags=36%, list=21%, signal=29%",ALDOA/ATP6V0C/ATP5ME/NME2/ATP5F1E/NDUFA11/NDUFB1/NDUFA13/ATP5MC2/NDUFB8/NDUFA3/NDUFC1/NDUFA7/ZBTB20/ATP5PD/NDUFA2/NDUFA1/ATP5MF/NDUFA12/MPP1/PDE4D/FHIT/NT5C2/SULT1A1/NAPRT/NDUFC2/PID1/HINT1/KYNU/ATP5MG/ANTKMT/SLC25A13/STAT3/HSPA8
GO:0006091,generation of precursor metabolites and energy,116,0.375273051,1.808277443,0.000792226,0.026661061,0.024572919,687,"tags=39%, list=24%, signal=31%",ALDOA/ATP5ME/UQCR11/ATP5F1E/NDUFA11/SCO2/NDUFB1/NDUFA4/NDUFA13/NDUFB8/NDUFA3/CHCHD2/NDUFC1/NDUFA7/ZBTB20/ATP5PD/NDUFA2/PTGES3/NDUFA1/PHB2/BLOC1S1/ATP5MF/IL10RB/NDUFA12/UQCRQ/MTLN/NDUFC2/IMMP2L/SUCLG1/PID1/COX17/ETFA/ATP5MG/ANTKMT/COX6A1/GSK3B/SLC25A13/STAT3/ATG3/ATP5F1B/OAS1/UQCR10/HK3/ADSL/GAPDH
GO:1901135,carbohydrate derivative metabolic process,169,0.355420475,1.796746416,0.000160255,0.00853905,0.007870256,582,"tags=30%, list=21%, signal=25%",ALDOA/ATP6V0C/ATP5ME/NME2/AOAH/ATP5F1E/NDUFA11/DPYD/PLCB1/NDUFB1/TMEM258/NDUFA13/KRTCAP2/CHST11/ATP5MC2/NDUFB8/NDUFA3/EXT1/NDUFC1/MAN2B1/TYMP/NDUFA7/ZBTB20/XYLT1/ATP5PD/NDUFA2/SULF2/TMTC2/NDUFA1/SUMF1/ATP5MF/NDUFA12/MPP1/PDE4D/OST4/GMDS/HEXA/NT5C2/SULT1A1/NDUFC2/PID1/HINT1/ATP5MG/BTK/IL15/ANTKMT/ST3GAL1/ST6GALNAC3/SLC25A13/STAT3/HSPA8
GO:0007005,mitochondrion organization,104,0.375209144,1.771852357,0.001201453,0.038385647,0.035379214,638,"tags=39%, list=23%, signal=32%",IFI27/TOMM7/NDUFA11/MICOS10/SCO2/NDUFB1/TOMM6/NDUFA13/NDUFB8/NDUFA3/CHCHD2/PET100/NDUFC1/CERT1/MICOS13/TYMP/ROMO1/NDUFA2/NDUFA1/PHB2/IFI27L2/AGTPBP1/NDUFA12/CAMKMT/COX16/MICU1/TIMM8B/NDUFC2/IMMP2L/PID1/PLSCR3/MEF2A/COX17/IFI6/TOMM5/GSK3B/COA1/MTCH2/SLIRP/ATG3/STAT2
GO:0009719,response to endogenous stimulus,249,-0.266726953,-1.716934847,4.97E-05,0.004179002,0.003851695,506,"tags=27%, list=18%, signal=24%",PTGER4/PARK7/YWHAH/IRS2/URI1/PRKAR1A/CTSH/TPR/TMF1/HADHA/NCOA4/RETN/RHOQ/CD81/STUB1/CALR/TSPO/ID1/TRIM44/AHCYL1/ZNF106/PTPRC/BLOC1S6/YY1/HMGB2/HNRNPU/TOB1/DNAJA1/CYBB/LEPROT/CD63/ZBTB7A/HSPA5/SRSF6/SDCBP/HSP90AB1/PTGS2/SOCS3/HSP90AA1/EGR1/ANXA1/RPL27/GNAI2/ZFP36L1/NCL/DDX5/DUSP6/EREG/TXNIP/CYP1B1/CTSS/GNAS/ZFP36/ZFP36L2/IER2/NFKBIZ/NR4A2/JUNB/BTG2/IL1B/KLF4/KLF2/FOS/JUND/CXCL8/FOSB/JUN
GO:0033993,response to lipid,174,-0.289117463,-1.777180168,0.000286473,0.0122552,0.011295351,627,"tags=36%, list=22%, signal=30%",CTNNB1/NASP/NR4A1/MTDH/IRF8/TAF7/FOSL2/FBP1/LITAF/CAT/ATP1A1/TNFRSF1B/FCAR/PTGER4/PARK7/CD55/YWHAH/URI1/CTSH/CDKN2D/TMF1/NCOA4/CALR/TSPO/PTPRC/YY1/PABPN1/HMGB2/HNRNPU/XRCC5/DNAJA1/CYBB/MSN/ZBTB7A/TRIB1/PTGS2/CXCL2/ANXA1/MBD2/RPL27/ZFP36L1/CD14/DDX5/SOD2/TXNIP/CYP1B1/GNAS/ZFP36/ZFP36L2/TNFAIP3/NFKBIZ/CEBPB/JUNB/RPL13A/NFKBIA/BTG2/IL1B/KLF4/FOS/JUND/CXCL8/FOSB/JUN
GO:0009725,response to hormone,168,-0.312942977,-1.919577525,1.43E-05,0.001722564,0.001587649,506,"tags=31%, list=18%, signal=27%",PTGER4/PARK7/YWHAH/IRS2/URI1/PRKAR1A/CTSH/TMF1/HADHA/NCOA4/RETN/RHOQ/CALR/TSPO/TRIM44/AHCYL1/ZNF106/PTPRC/YY1/HMGB2/HNRNPU/DNAJA1/CYBB/LEPROT/ZBTB7A/SRSF6/PTGS2/SOCS3/HSP90AA1/EGR1/ANXA1/RPL27/GNAI2/ZFP36L1/NCL/DDX5/EREG/TXNIP/CYP1B1/CTSS/GNAS/ZFP36/ZFP36L2/NR4A2/JUNB/BTG2/IL1B/KLF2/FOS/JUND/FOSB/JUN
GO:0097305,response to alcohol,51,-0.410027328,-1.964628662,0.000700251,0.024211422,0.02231514,187,"tags=24%, list=7%, signal=22%",RPL10A/RPL27/CD14/SOD2/CYP1B1/GNAS/RGS2/BTG2/KLF4/KLF2/FOS/FOSB
